target_language,relative_path,key,source_value
english,bakasekai/CHN_strike_events_l_japanese.yml,chn_periodic_strikes,周期的なストライキ
english,bakasekai/CHN_strike_events_l_japanese.yml,chn_strikes.1.a,要求は無視できない。
english,bakasekai/CHN_strike_events_l_japanese.yml,chn_strikes.1.d,全国の工場で労働者がストライキに入り、生産が停止しました。労働者はより良い労働条件と賃金を要求しています。この混乱は我が国の産業生産に深刻な影響を与えるでしょう。
english,bakasekai/CHN_strike_events_l_japanese.yml,chn_strikes.1.t,広範囲にわたるストライキ
english,bakasekai/CHN_strike_events_l_japanese.yml,chn_strikes.2.a,ようやく、生産に戻れる。
english,bakasekai/CHN_strike_events_l_japanese.yml,chn_strikes.2.d,交渉の末、ストライキ中の労働者との合意に達しました。労働者は職場に復帰し、工場の生産は正常に戻りつつあります。
english,bakasekai/CHN_strike_events_l_japanese.yml,chn_strikes.2.t,ストライキの終結
english,bakasekai/LON_focus_l_japanese.yml,LON.18.a,平和的な統合を目指す
english,bakasekai/LON_focus_l_japanese.yml,LON.18.b,より積極的な手段を検討する
english,bakasekai/LON_focus_l_japanese.yml,LON.18.desc,アイルランドとの統合に向けた構想が政府内で議論されています。我々はどのようなアプローチを取るべきでしょうか？
english,bakasekai/LON_focus_l_japanese.yml,LON.18.t,ケルト統一構想
english,bakasekai/LON_focus_l_japanese.yml,LON.19.a,協力的な関係を築く
english,bakasekai/LON_focus_l_japanese.yml,LON.19.b,独立を維持する
english,bakasekai/LON_focus_l_japanese.yml,LON.19.desc,ロンドン政府から、ケルト統一に関する提案が届きました。我々はどう対応すべきでしょうか？
english,bakasekai/LON_focus_l_japanese.yml,LON.19.t,ロンドンからの統合提案
english,bakasekai/LON_focus_l_japanese.yml,LON_celtic_cooperation,ケルト協力
english,bakasekai/LON_focus_l_japanese.yml,LON_celtic_pressure,ケルト統一圧力
english,bakasekai/LON_focus_l_japanese.yml,LON_celtic_resistance,ケルト抵抗
english,bakasekai/LON_focus_l_japanese.yml,LON_celtic_unification,ケルト統一への道
english,bakasekai/LON_focus_l_japanese.yml,LON_celtic_unification_desc,アイルランドとの統一を推進し、ケルト民族の結束を図ります。古き因縁を乗り越え、新たな時代の幕開けを告げましょう。
english,bakasekai/LON_focus_l_japanese.yml,LON_commonwealth_cooperation,英連邦協力
english,bakasekai/LON_focus_l_japanese.yml,LON_commonwealth_relations,英連邦外交
english,bakasekai/LON_focus_l_japanese.yml,LON_commonwealth_relations_desc,イギリス本国およびオーストラリアとの関係を深め、英連邦内での影響力を拡大します。我々は帝国の新たな中心となり得るのです。
english,bakasekai/LON_focus_l_japanese.yml,LON_financial_hub,金融覇権
english,bakasekai/LON_focus_l_japanese.yml,LON_financial_hub_desc,世界の金融センターとしての地位を確立し、研究開発と政治力を強化します。ロンドンの銀行街は世界経済を左右する力を持つでしょう。
english,bakasekai/LON_focus_l_japanese.yml,LON_focus_tree,ロンドンの運命
english,bakasekai/LON_focus_l_japanese.yml,LON_fundamentals,基盤構築
english,bakasekai/LON_focus_l_japanese.yml,LON_fundamentals_desc,金融街の拡張と産業基盤の整備により、国の礎を固めます。シティ・オブ・ロンドンの力を世界に示す準備を整えましょう。
english,bakasekai/LON_focus_l_japanese.yml,LON_global_financial_network,世界金融ネットワーク
english,bakasekai/LON_focus_l_japanese.yml,LON_global_financial_network_desc,地球規模の金融ネットワークを構築し、世界経済の動向に絶大な影響力を持つまでに至りました。
english,bakasekai/LON_focus_l_japanese.yml,LON_global_influence,世界影響力
english,bakasekai/LON_focus_l_japanese.yml,LON_global_influence_desc,金融ネットワークを通じて世界各国に影響を与え、真の金融帝国を築き上げます。小さな島国が世界を動かす時代の到来です。
english,bakasekai/LON_focus_l_japanese.yml,LON_international_financial_center,国際金融センター
english,bakasekai/LON_focus_l_japanese.yml,LON_international_financial_center_desc,ロンドンは世界の資本が集まる国際金融の中心地として確立されました。
english,bakasekai/LON_focus_l_japanese.yml,LON_stronger_commonwealth_ties,強化された英連邦の絆
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,aa_art,AAアート
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,aa_art_desc,国民は、文字で絵を描くアスキーアートの制作に情熱を燃やしている。防空システムの管制画面も、今や巨大なアート作品の発表の場と化した。敵機？そんなものよりアートだ。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,abnormal_elasticity,異常弾性
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,abnormal_elasticity_desc,戦車の装甲がゴムボールのように弾み、砲弾がスーパーボールのように跳ね返る。この異常な弾性は、あらゆる兵器を無力化してしまう。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,abnormal_weather,異常気象
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,abnormal_weather_desc,真夏に雪が降り、冬に灼熱の太陽が照りつける。異常気象は常態化し、農業も軍事行動も、全てが計画通りには進まない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,advent_of_a_prophet,預言者の出現
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,advent_of_a_prophet_desc,「世界はバカによって浄化される！」と説く預言者が民衆の支持を集めている。彼の言葉は荒唐無稽だが、不思議な説得力があり、社会に奇妙な熱狂を生み出している。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,all_your_base,All Your Base
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,all_your_base_desc,「君たちの基地は、全てCATSがいただいた」。敵からの宣戦布告は、いつもこの謎のメッセージから始まる。CATSが誰なのか、誰も知らない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,ancient_plague,古の疫病
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,ancient_plague_desc,氷の中から、古代の疫病が蘇った。現代医学では治療法がなく、人々は次々と倒れていく。我々の文明は、見えざる敵の前に無力だ。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,ancient_pressure,古代の重圧
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,ancient_pressure_desc,地中深くから発せられる謎の圧力は、人々の精神を押し潰す。誰もが言い知れぬ不安と重圧に苛まれ、社会全体の活力が失われている。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,antarctic_calamity,南極の厄災
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,antarctic_calamity_desc,南極大陸で活動していたペンギンたちが、突如として奇妙な行動を開始した。彼らが発する謎の波動は、地球全体の精神に影響を及ぼし、我々の社会に不穏な影を落としている。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,ara_ara,あらあら～
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,ara_ara_desc,政府高官から軍の司令官まで、誰もが「あらあら、うふふ」としか言わなくなった。彼らが何を考えているのか、深刻な事態に気づいているのか、誰にも分からない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,aversion_to_kabedon,壁ドンへの嫌悪
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,aversion_to_kabedon_desc,壁ドンは暴力である、という認識が広まり、人々は壁際に立つことを極度に恐れるようになった。これにより、塹壕戦術や市街地での防衛は極めて困難になっている。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,base_chaos,基地の混乱
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,base_chaos_desc,兵士たちがバカになった結果、軍事基地の管理体制は崩壊した。弾薬とレーションを間違えるのは日常茶飯事、航空基地では戦闘機を洗濯物干しに使う始末だ。まともな作戦行動など期待できない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,biohazard,生物災害
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,biohazard_desc,失敗した生物兵器が漏洩し、国土の一部は未知のウイルスに汚染された。感染した者は理性を失い、凶暴化するという。封じ込めは困難を極めている。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,blood_ritual,血の儀式
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,blood_ritual_desc,国運を賭けた謎の儀式が、夜な夜な執り行われているという。その効果は定かではないが、国民の血が少しずつ失われていることだけは確かだ。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,bongo_cat_fever,ボンゴキャット・フィーバー
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,bongo_cat_fever_desc,全国民がキーボードをボンゴ代わりに叩くことに夢中になっている。生産性はゼロになったが、国全体の雰囲気はなんだか楽しそうだ。タカタカタカタカッ！
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,brittle_buildings,脆い建造物
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,brittle_buildings_desc,少しの風や雨で、建物がビスケットのように崩れ落ちる。国民は常にヘルメットを被って生活することを余儀なくされている。もちろん、軍事施設も例外ではない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,broken_war_fan,壊れた軍配
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,broken_war_fan_desc,軍師の象徴であった軍配が壊れた。それは、彼の戦術がもはや通用しないこと、そしてこの国の敗北を暗示しているのかもしれない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,bureaucratic_wall,官僚主義の壁
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,bureaucratic_wall_desc,一つの申請を通すのに、300枚の書類と50人の承認印が必要だ。物事が前に進むはずもなく、官僚たちは書類の山に埋もれて満足している。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,call_of_the_monolith,巨石の呼び声
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,call_of_the_monolith_desc,突如として現れた巨大な一枚岩『モノリス』が、人々を呼び寄せている。その呼び声に抗うことはできず、労働者たちは次々とモノリスの前で祈りを捧げ、帰ってこない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,celestial_miscalculation,天体の誤算
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,celestial_miscalculation_desc,天文学者たちが「今度こそ本物だ」と叫んでいる。新たな彗星が地球に接近しており、その軌道は予測不能だという。前回の騒動を覚えている国民は、政府の発表を全く信用していない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,chain_reaction,連鎖反応
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,chain_reaction_desc,一つの小さなミスが、ドミノ倒しのように次々と大きな災害を引き起こす。この国では、常に最悪の事態を想定しなければならない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,civilization_regression,文明の後退
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,civilization_regression_desc,人々は文字の読み書きすら忘れ始めている。複雑な機械の操作はもちろん、簡単な計算すらおぼつかない。我々の文明は、石器時代へと逆行しているのかもしれない。
english,bakasekai/_bsm_negative_ideas_l_japanese.yml,collapse_of_discipline,規律の崩壊
